Date,VTI,IUSV,VBR,VEA,VWO,SHV,STIP,AGG,IBND,EMB
2010-12-03,51.645957946777344,21.534809112548828,52.184261322021484,25.709566116333008,35.539756774902344,104.0408935546875,85.29649353027344,80.82801818847656,29.257314682006836,66.60551452636719
2010-12-06,51.62965393066406,21.516559600830078,52.319175720214844,25.57466697692871,35.524906158447266,104.05035400390625,85.5013427734375,81.12474822998047,29.4024658203125,66.87458801269531
2010-12-07,51.686729431152344,21.547847747802734,52.557281494140625,25.62436294555664,35.361366271972656,104.05035400390625,85.35625457763672,80.49337005615234,29.257314682006836,66.57492065429688
2010-12-08,51.83349609375,21.6286563873291,52.58903121948242,25.709566116333008,35.14578628540039,104.05035400390625,85.0660400390625,80.10545349121094,29.166593551635742,65.89612579345703
2010-12-09,52.021026611328125,21.74856948852539,52.75570297241211,25.737964630126953,35.06401824951172,104.05035400390625,85.04891967773438,80.24993896484375,29.030521392822266,66.09790802001953
2010-12-10,52.35533142089844,21.920618057250977,53.311279296875,25.823163986206055,35.22011947631836,104.0314712524414,84.97217559814453,80.09782409667969,29.066808700561523,65.91441345214844
2010-12-13,52.37164306640625,21.933658599853516,53.14459228515625,26.10006332397461,35.405967712402344,104.0314712524414,85.03189849853516,80.15109252929688,29.32988929748535,65.6147689819336
2010-12-14,52.387943267822266,21.949298858642578,53.112857818603516,26.15687370300293,35.443119049072266,104.05035400390625,84.9123764038086,79.70227813720703,29.14845085144043,65.6147689819336
2010-12-15,52.15964889526367,21.811132431030273,52.77951431274414,25.808961868286133,34.922767639160156,104.05035400390625,85.08308410644531,79.56534576416016,28.849077224731445,65.14386749267578
2010-12-16,52.46949768066406,21.946685791015625,53.15253829956055,25.91546630859375,35.12348556518555,104.05035400390625,85.09164428710938,79.71746063232422,28.8309326171875,64.69132232666016
2010-12-17,52.56733322143555,21.96493148803711,53.25571060180664,25.787660598754883,35.09374237060547,104.0314712524414,85.33917236328125,80.15109252929688,28.812782287597656,64.80750274658203
2010-12-20,52.70595169067383,22.035316467285156,53.43033218383789,25.844465255737305,34.98968505859375,104.05977630615234,85.32205200195312,80.20433044433594,28.75834846496582,65.13775634765625
2010-12-21,53.02396011352539,22.23343276977539,54.00971221923828,26.029067993164062,35.443119049072266,104.05977630615234,85.41596984863281,80.35643768310547,28.73113441467285,65.480224609375
2010-12-22,53.2255973815918,22.35509490966797,54.24781799316406,26.113468170166016,35.58304214477539,104.0314712524414,85.45015716552734,80.26515197753906,28.64948272705078,65.58419036865234
2010-12-23,53.151832580566406,22.31576919555664,54.1684455871582,26.077091217041016,35.53009796142578,104.02198791503906,85.3904037475586,80.11302947998047,28.8309326171875,65.6453857421875
2010-12-27,53.18461227416992,22.35509490966797,54.362545013427734,26.047990798950195,35.462032318115234,104.02198791503906,85.34771728515625,80.34127044677734,28.948856353759766,65.62699127197266
2010-12-28,53.233787536621094,22.370820999145508,54.297847747802734,26.04071617126465,35.492286682128906,104.0692138671875,85.24781799316406,79.87114715576172,28.894432067871094,65.54102325439453
2010-12-29,53.31576919555664,22.389184951782227,54.419158935546875,26.273544311523438,35.92335891723633,104.0692138671875,85.49544525146484,80.43586730957031,29.143638610839844,65.43045806884766
2010-12-30,53.25019836425781,22.36033821105957,54.39488983154297,26.171674728393555,36.18050003051758,104.0597915649414,85.35028076171875,80.37484741210938,29.31770896911621,65.47958374023438
2010-12-31,53.2255973815918,22.352474212646484,54.07139587402344,26.302650451660156,36.414947509765625,104.0692138671875,85.4869613647461,80.70296478271484,29.555908203125,65.76824951171875
2011-01-03,53.77482604980469,22.640899658203125,54.96908187866211,26.513641357421875,36.770389556884766,104.0597915649414,85.56380462646484,80.61135864257812,29.638370513916016,66.0446548461914
2011-01-04,53.66825485229492,22.62253761291504,54.24122619628906,26.433618545532227,36.91409683227539,104.0692138671875,85.71758270263672,80.63429260253906,29.959041595458984,66.45002746582031
2011-01-05,53.96337890625,22.743146896362305,54.69410705566406,26.2880916595459,36.77796173095703,104.0692138671875,85.63216400146484,80.24507904052734,30.03232192993164,66.06925201416016
2011-01-06,53.84040832519531,22.680221557617188,54.46765899658203,26.055265426635742,36.4527702331543,104.0692138671875,85.82859802246094,80.26036071777344,29.5375919342041,65.55941772460938
2011-01-07,53.717437744140625,22.59894371032715,54.19270324707031,25.96794891357422,36.11244583129883,104.0692138671875,85.99943542480469,80.51982116699219,29.75747299194336,65.69453430175781
2011-01-10,53.758426666259766,22.564851760864258,54.38679504394531,25.89519691467285,35.741851806640625,104.03144073486328,86.05072784423828,80.73353576660156,29.30854034423828,65.52873229980469
2011-01-11,53.9715690612793,22.640899658203125,54.59706497192383,26.069807052612305,36.14268493652344,104.03144073486328,86.21298217773438,80.5732192993164,29.31770896911621,65.70684814453125
2011-01-12,54.4552001953125,22.850650787353516,55.04186248779297,26.622791290283203,36.96702575683594,104.04090881347656,86.2642593383789,80.56561279296875,29.27189826965332,66.02008819580078
2011-01-13,54.373233795166016,22.782480239868164,54.97718048095703,26.731929779052734,36.55105972290039,104.03144073486328,86.35820007324219,80.85556030273438,29.36351776123047,66.14905548095703
2011-01-14,54.72572708129883,22.981752395629883,55.41386795043945,26.877445220947266,36.64939880371094,104.03144073486328,86.30695343017578,80.68769073486328,29.354352951049805,66.23504638671875
2011-01-18,54.865089416503906,22.981752395629883,55.62415313720703,27.05206871032715,36.6418342590332,104.03144073486328,86.30695343017578,80.63429260253906,29.455141067504883,66.1122055053711
